Date	PondID	DOC	ph	Salinity	Transparency	Alkalinity	Status
10/12/2024	P06	3.82	6.7	1.3	7	49	Unbreedable
10/12/2024	P03	1.03	9.5	4.4	5.2	45	Unbreedable
10/13/2024	P16	2.29	6.9	38.6	2.83	54	Unbreedable
10/13/2024	P05	3.55	9.4	39.6	27	179	Unbreedable
10/13/2024	P11	0.94	8.8	1.9	27	172	Unbreedable
10/14/2024	P05	0.92	7	0.7	8	182	Unbreedable
10/14/2024	P14	2.45	7	36.8	7	53	Unbreedable
10/14/2024	P11	2.39	8.8	31.5	7.07	167	Unbreedable
10/15/2024	P16	1.65	6.1	2.9	6.71	163	Unbreedable
10/15/2024	P14	1.72	9	30.5	6.78	197	Unbreedable
10/15/2024	P18	3.8	8.5	2.5	2.83	161	Unbreedable
10/16/2024	P06	2.69	6.2	1.2	11.18	156	Unbreedable
10/16/2024	P02	3.74	8.9	32.5	7	190	Unbreedable
10/16/2024	P15	0.71	8.9	3.4	7.07	37	Unbreedable
10/17/2024	P20	3.17	6.3	4.7	8	52	Unbreedable
10/17/2024	P15	3.72	9	33.2	7.07	60	Unbreedable
10/17/2024	P06	2.37	6.7	0.6	6.93	73	Unbreedable
10/18/2024	P13	0.54	9.2	4.2	6.4	65	Unbreedable
10/18/2024	P14	1.72	9	36.5	14.7	31	Unbreedable
10/18/2024	P09	1.85	8.8	2.5	0	44	Unbreedable
10/19/2024	P06	3.61	8.7	34.5	6.48	40	Unbreedable
10/19/2024	P20	1.27	7.1	32.7	2.83	78	Unbreedable
10/19/2024	P15	1.74	9.3	36.3	7.07	177	Unbreedable
10/20/2024	P07	0.8	6.8	37.7	6.86	83	Unbreedable
10/20/2024	P01	2.15	7.3	34.5	8	81	Unbreedable
10/20/2024	P13	1.7	9.3	32.1	7.07	168	Unbreedable
10/21/2024	P11	3.35	6.9	1.5	6.63	192	Unbreedable
10/21/2024	P05	2.31	8.8	31.4	22.63	82	Unbreedable
10/21/2024	P19	2.57	9.2	4.5	8	175	Unbreedable
10/22/2024	P10	2.11	8.8	33.9	6.71	162	Unbreedable
10/22/2024	P20	2.34	6.8	32.2	6.56	77	Unbreedable
10/22/2024	P12	2.41	9.3	33.1	6.63	45	Unbreedable
10/23/2024	P14	1.91	7.1	2.1	7.07	72	Unbreedable
10/23/2024	P15	1.22	6.5	4.3	6.48	40	Unbreedable
10/23/2024	P17	1.27	8.6	3.2	6.78	73	Unbreedable
10/24/2024	P14	3.06	6.6	1.6	6.86	169	Unbreedable
10/24/2024	P11	2.51	6.5	1.6	7	151	Unbreedable
10/24/2024	P10	0.62	6.7	3.1	6.4	167	Unbreedable
10/25/2024	P02	3.38	9	37.8	7	81	Unbreedable
10/25/2024	P13	2.27	7.3	1.1	8	158	Unbreedable
10/25/2024	P03	0.85	7.5	35.3	5.2	173	Unbreedable
10/26/2024	P19	2.71	6.8	38.5	6.56	151	Unbreedable
10/26/2024	P18	1.04	9	38	18.52	188	Unbreedable
10/26/2024	P09	2.48	9.5	1.8	8	36	Unbreedable
10/27/2024	P14	1.66	8.8	32	8	40	Unbreedable
10/27/2024	P14	2.27	6.9	31.1	14.7	54	Unbreedable
10/27/2024	P04	3.19	6.4	2.9	6.63	41	Unbreedable
10/28/2024	P17	3.9	9.3	2.4	14.7	159	Unbreedable
10/28/2024	P09	2.49	9.5	34.2	7.07	69	Unbreedable
10/28/2024	P20	2.95	7.1	0.1	7	174	Unbreedable
10/29/2024	P19	0.73	9.1	4.7	14.7	76	Unbreedable
10/29/2024	P14	3.89	6.4	3.5	18.52	53	Unbreedable
10/29/2024	P01	1.44	8.9	2.8	6.78	156	Unbreedable
10/30/2024	P02	3.38	8.9	3.5	5.2	53	Unbreedable
10/30/2024	P02	2.32	6.3	38.9	22.63	193	Unbreedable
10/30/2024	P02	1.72	9.5	30.9	6.78	41	Unbreedable
10/31/2024	P14	2.54	9.5	1.4	6.56	181	Unbreedable
10/31/2024	P13	2.19	9.3	2.6	6.78	163	Unbreedable
10/31/2024	P10	3.75	6.2	4.3	1	82	Unbreedable
11/1/2024	P15	2.97	9.5	2.8	2.83	67	Unbreedable
11/1/2024	P14	1.25	9.1	1.9	6.86	76	Unbreedable
11/1/2024	P14	1.89	9.5	0.5	6.78	57	Unbreedable
11/2/2024	P19	2.88	6.3	30.9	6.71	199	Unbreedable
11/2/2024	P18	0.56	9.1	36.5	11.18	189	Unbreedable
11/2/2024	P17	4.05	6.9	4.3	6.63	190	Unbreedable
11/3/2024	P13	3.98	6.6	36.8	1	176	Unbreedable
11/3/2024	P17	3.25	9.2	30.9	6.86	191	Unbreedable
11/3/2024	P20	2.2	6.6	31.1	7	192	Unbreedable
11/4/2024	P15	3.06	8.9	36.9	6.4	39	Unbreedable
11/4/2024	P11	2	6.6	39.5	7	180	Unbreedable
11/4/2024	P04	1.77	6.8	0.8	6.93	39	Unbreedable
11/5/2024	P10	2.49	6.7	37.5	6.86	189	Unbreedable
11/5/2024	P11	3.19	6.6	35.6	6.63	153	Unbreedable
11/5/2024	P08	0.52	9	35.4	7	196	Unbreedable
11/6/2024	P16	0.46	9.1	35.8	0	157	Unbreedable
11/6/2024	P04	1.11	6.1	33.7	18.52	59	Unbreedable
11/6/2024	P20	2.11	8.8	31.9	27	73	Unbreedable
11/7/2024	P18	0.71	9	0.7	27	187	Unbreedable
11/7/2024	P17	2.12	9.4	2.8	1	51	Unbreedable
11/7/2024	P04	1.48	6.7	35.6	7	184	Unbreedable
11/8/2024	P09	1.29	9.4	2.6	7	60	Unbreedable
11/8/2024	P05	2.39	8.9	30.1	6.78	151	Unbreedable
11/8/2024	P05	1.22	9	2.9	0	168	Unbreedable
11/9/2024	P13	3.66	7	31.9	6.56	156	Unbreedable
11/9/2024	P03	2.86	9.3	3.7	6.86	194	Unbreedable
11/9/2024	P19	2.37	6	2.8	5.2	169	Unbreedable
11/10/2024	P18	1.46	8.9	31	1	51	Unbreedable
11/10/2024	P07	0.97	6.6	37.7	6.93	154	Unbreedable
11/10/2024	P17	2.33	6.6	3.1	1	79	Unbreedable
11/11/2024	P09	1.21	6.7	4.5	0	60	Unbreedable
11/11/2024	P06	3.06	6.8	36.8	6.56	77	Unbreedable
11/11/2024	P16	2.92	6.9	35.2	18.52	74	Unbreedable
11/12/2024	P17	0.49	9.1	30.5	5.2	68	Unbreedable
11/12/2024	P18	3.62	8.8	3	11.18	157	Unbreedable
11/12/2024	P15	3.49	9	2	8	199	Unbreedable
11/13/2024	P08	2.46	9.2	4.6	22.63	56	Unbreedable
11/13/2024	P20	1.78	9.1	30.2	6.56	187	Unbreedable
11/13/2024	P18	3.13	6.9	32.7	5.2	174	Unbreedable
11/14/2024	P09	3.84	8.9	38.2	0	171	Unbreedable
11/14/2024	P10	3	8.7	1.3	27	198	Unbreedable
11/14/2024	P07	1.46	9.2	33.3	6.4	157	Unbreedable
11/15/2024	P02	2.31	6.2	1.4	0	192	Unbreedable
11/15/2024	P12	3.46	6.4	38.4	6.4	35	Unbreedable
11/15/2024	P17	1.31	6.1	37.9	6.86	75	Unbreedable
11/16/2024	P09	1.28	6.2	34.9	8	186	Unbreedable
11/16/2024	P05	0.39	8.8	37.4	0	37	Unbreedable
11/16/2024	P18	1.94	7.1	36.6	7	189	Unbreedable
11/17/2024	P09	3.82	9.4	34.6	6.63	36	Unbreedable
11/17/2024	P11	1.35	6.2	4	18.52	156	Unbreedable
11/17/2024	P02	1.91	6.9	36.7	6.63	68	Unbreedable
11/18/2024	P16	0.58	6.2	31.8	6.56	192	Unbreedable
11/18/2024	P08	2.32	6	3.6	27	193	Unbreedable
11/18/2024	P15	0.6	7.2	32.4	7	60	Unbreedable
11/19/2024	P10	3.5	8.6	2.7	7.07	55	Unbreedable
11/19/2024	P18	0.72	7.3	0.2	6.48	32	Unbreedable
11/19/2024	P13	2.78	9	31	27	42	Unbreedable
11/20/2024	P18	3.63	9.5	2.5	6.71	60	Unbreedable
11/20/2024	P12	2.26	9.4	33.9	18.52	30	Unbreedable
11/20/2024	P14	3.48	7	2.1	11.18	165	Unbreedable
11/21/2024	P13	1.28	9.3	34.9	6.4	81	Unbreedable
11/21/2024	P19	2.46	8.8	0.7	6.63	55	Unbreedable
11/21/2024	P03	2	9.4	32	22.63	187	Unbreedable
11/22/2024	P01	2.52	7.4	34.1	18.52	162	Unbreedable
11/22/2024	P06	1.79	6.7	1.5	11.18	194	Unbreedable
11/22/2024	P05	2.98	6.7	2.1	6.71	41	Unbreedable
11/23/2024	P01	1.74	6.4	0.1	1	182	Unbreedable
11/23/2024	P15	3.55	6.7	2.9	8	184	Unbreedable
11/23/2024	P06	3.21	6.9	2.2	5.2	159	Unbreedable
11/24/2024	P19	2.82	9.1	2.7	11.18	57	Unbreedable
11/24/2024	P16	1.04	8.6	3.3	6.86	71	Unbreedable
11/25/2024	P17	1.91	7.2	39	7	155	Unbreedable
11/25/2024	P04	1.23	6.9	0	1	44	Unbreedable
11/26/2024	P16	1.76	9	4.3	14.7	169	Unbreedable
11/26/2024	P16	0.88	9.1	30.4	0	185	Unbreedable
11/27/2024	P19	1.98	9.2	36	2.83	172	Unbreedable
11/27/2024	P14	2.97	6.8	1.8	1	72	Unbreedable
11/28/2024	P20	1.59	7.2	35.1	1	194	Unbreedable
11/28/2024	P03	1.79	8.8	37.4	6.93	35	Unbreedable
11/29/2024	P13	3.39	9.4	3.3	6.63	32	Unbreedable
11/29/2024	P19	2.87	6.8	0.8	6.63	64	Unbreedable
11/30/2024	P12	2.47	6.7	33.2	7.07	180	Unbreedable
11/30/2024	P10	0.89	9.3	3.4	7.07	31	Unbreedable
12/1/2024	P10	2.7	6.9	31.5	18.52	71	Unbreedable
12/1/2024	P02	2.34	6.6	2.6	6.4	75	Unbreedable
12/2/2024	P19	2.12	6.7	37.5	6.4	47	Unbreedable
12/2/2024	P01	0.64	9	1.5	5.2	177	Unbreedable
12/3/2024	P10	2.54	8.7	34.8	0	59	Unbreedable
12/3/2024	P02	1.1	6.9	34.6	27	188	Unbreedable
12/4/2024	P09	3.06	8.6	35.9	1	165	Unbreedable
12/4/2024	P06	2.57	9.5	4.8	8	66	Unbreedable
12/5/2024	P18	1.46	7.2	0.3	6.71	173	Unbreedable
12/5/2024	P07	3.62	6.9	1	11.18	169	Unbreedable
12/6/2024	P01	1.42	6.2	3	5.2	185	Unbreedable
12/6/2024	P13	2.44	8.9	1.6	22.63	197	Unbreedable
12/7/2024	P05	0.79	6.3	33.3	6.86	76	Unbreedable
12/7/2024	P02	3.32	9.2	3	2.83	79	Unbreedable
12/8/2024	P10	3.24	8.7	35.6	6.63	36	Unbreedable
12/8/2024	P14	0.64	6.6	38.5	6.93	38	Unbreedable
12/9/2024	P14	2.74	7.2	3.4	7.07	200	Unbreedable
12/9/2024	P07	3.29	6.1	35.9	7.07	155	Unbreedable
12/10/2024	P18	3.11	7.2	0.8	1	69	Unbreedable
12/10/2024	P12	2.32	8.6	1.6	0	172	Unbreedable
12/11/2024	P04	2.46	9.1	36.2	6.48	175	Unbreedable
12/11/2024	P06	1.42	8.7	39.4	18.52	179	Unbreedable
12/12/2024	P19	1.81	6.5	0.6	0	188	Unbreedable
12/12/2024	P14	2.84	6.2	3.7	0	40	Unbreedable
12/13/2024	P01	3.72	6.3	35.3	6.86	38	Unbreedable
12/13/2024	P11	2.82	8.9	39.1	27	194	Unbreedable
12/14/2024	P15	2.2	9.2	3.4	6.63	58	Unbreedable
12/14/2024	P12	3.66	8.6	2.7	5.2	193	Unbreedable
12/15/2024	P06	0.83	7.4	0.8	6.4	193	Unbreedable
12/15/2024	P20	3.51	9.1	3.1	6.4	158	Unbreedable
12/16/2024	P18	0.68	7.1	0.7	7	73	Unbreedable
12/16/2024	P03	2.66	8.7	4.8	8	63	Unbreedable
12/17/2024	P15	2.25	6.3	4.6	14.7	151	Unbreedable
12/17/2024	P10	3.63	7.2	3.3	6.56	173	Unbreedable
12/18/2024	P15	3.02	9.1	2.6	5.2	68	Unbreedable
12/18/2024	P13	0.53	7	33.8	6.56	78	Unbreedable
12/19/2024	P10	2.27	8.7	4.4	14.7	46	Unbreedable
12/19/2024	P12	1.6	6.9	3.4	6.4	189	Unbreedable
12/20/2024	P15	1.3	8.9	2.3	7	200	Unbreedable
12/20/2024	P10	0.76	9	1.9	5.2	157	Unbreedable
12/21/2024	P13	0.69	7.4	37.4	1	65	Unbreedable
12/21/2024	P03	2.94	7.2	33.4	0	168	Unbreedable
12/22/2024	P18	3.43	8.8	36.9	6.56	53	Unbreedable
12/22/2024	P03	2.21	8.7	35.4	6.86	39	Unbreedable
12/23/2024	P08	0.8	9	4	6.71	196	Unbreedable
12/23/2024	P06	1.9	6.1	38.6	27	182	Unbreedable
12/24/2024	P10	3.28	9.3	35.1	6.63	65	Unbreedable
12/24/2024	P08	3.37	9.4	1	6.56	32	Unbreedable
12/25/2024	P14	3.48	9.2	34.9	8	153	Unbreedable
12/25/2024	P18	3.12	6.4	2.5	6.4	161	Unbreedable
12/26/2024	P19	0.69	8.9	36.1	6.78	156	Unbreedable
12/26/2024	P18	3.82	6.3	2.8	0	167	Unbreedable
12/27/2024	P10	3.54	7.4	0.1	6.71	69	Unbreedable
12/27/2024	P13	3.55	9.3	39.1	18.52	73	Unbreedable
12/28/2024	P19	3.73	6.5	38.2	6.78	168	Unbreedable
12/28/2024	P16	3.53	9	4.3	5.2	198	Unbreedable
12/29/2024	P08	1.58	6.2	36.5	1	200	Unbreedable
12/29/2024	P20	3.3	6.4	2.9	18.52	32	Unbreedable
12/30/2024	P06	1.11	8.8	2.9	1	169	Unbreedable
12/30/2024	P09	1.69	9	4.2	6.78	152	Unbreedable
12/31/2024	P11	3.11	8.8	33.8	27	180	Unbreedable
12/31/2024	P02	1.88	6.9	0.7	5.2	61	Unbreedable
1/1/2025	P04	2.04	6.8	0.8	1	167	Unbreedable
1/1/2025	P11	0.99	8.8	0.4	6.93	185	Unbreedable
1/2/2025	P17	0.69	9.2	3.6	11.18	159	Unbreedable
1/2/2025	P09	3.85	8.5	37.1	6.4	62	Unbreedable
1/3/2025	P05	3.34	9.2	37.5	11.18	63	Unbreedable
1/3/2025	P08	1.65	9.2	1.5	6.48	73	Unbreedable
1/4/2025	P17	0.71	7.2	31.3	27	56	Unbreedable
1/4/2025	P10	1.56	6.6	3.5	5.2	153	Unbreedable
1/5/2025	P12	2.86	6.5	38.4	6.48	31	Unbreedable
1/5/2025	P07	2	9.5	4.8	6.71	84	Unbreedable
1/6/2025	P03	3.72	9.3	31.9	0	73	Unbreedable
1/6/2025	P20	1.42	7.3	36.1	5.2	197	Unbreedable
1/7/2025	P11	3.71	6.8	2.1	1	62	Unbreedable
1/7/2025	P20	1.08	8.7	2.1	18.52	162	Unbreedable
1/8/2025	P04	1.62	7	30.6	6.56	66	Unbreedable
1/8/2025	P09	2.15	8.7	31.8	6.78	34	Unbreedable
1/9/2025	P05	2.87	6.8	4.5	6.48	66	Unbreedable
1/9/2025	P12	1.05	6.5	37.5	22.63	62	Unbreedable
1/10/2025	P10	1.23	9.3	37.7	27	192	Unbreedable
1/10/2025	P16	2.62	6	36.1	5.2	33	Unbreedable
1/11/2025	P02	2.03	6.7	32.8	6.56	195	Unbreedable
1/11/2025	P16	1.65	9	37.5	5.2	42	Unbreedable
1/12/2025	P04	3.42	8.8	31.2	6.71	54	Unbreedable
1/12/2025	P18	3.68	9.3	33.8	27	178	Unbreedable
1/13/2025	P10	1.18	6.2	36	6.63	44	Unbreedable
1/13/2025	P03	1.58	7	34.7	5.2	77	Unbreedable
1/14/2025	P13	0.84	6.2	2.5	6.56	68	Unbreedable
1/14/2025	P20	3	9.5	34.6	22.63	151	Unbreedable
1/15/2025	P19	1.37	6.8	1.1	22.63	82	Unbreedable
1/15/2025	P12	3.32	8.8	1	1	67	Unbreedable
1/16/2025	P08	1.88	7.2	2.1	6.93	75	Unbreedable
1/16/2025	P02	0.64	7	2.6	6.71	49	Unbreedable
1/17/2025	P09	2.29	9.2	4.8	6.78	65	Unbreedable
1/17/2025	P17	1.02	8.8	2.5	6.56	42	Unbreedable
1/18/2025	P18	3.72	7	37.9	6.48	50	Unbreedable
1/18/2025	P19	2.04	9.1	4.3	7	155	Unbreedable
1/19/2025	P08	3.46	7.2	1.6	7	179	Unbreedable
1/19/2025	P16	3.96	6.6	32.1	6.56	172	Unbreedable
1/20/2025	P09	2.09	6.8	3.1	6.93	162	Unbreedable
1/20/2025	P19	0.81	7.4	30.1	22.63	52	Unbreedable
1/21/2025	P16	3.23	9	32.5	8	37	Unbreedable
1/21/2025	P16	1.04	8.6	3.4	14.7	53	Unbreedable
1/22/2025	P03	2.02	9	37	27	194	Unbreedable
1/22/2025	P01	2.51	9.3	31.2	6.48	43	Unbreedable
1/23/2025	P13	2.55	6.3	2.6	6.78	72	Unbreedable
1/23/2025	P15	3.38	9.2	4.4	6.56	185	Unbreedable
1/24/2025	P10	3.57	6.6	39.4	6.78	42	Unbreedable
1/24/2025	P03	2.39	8.8	0.4	27	30	Unbreedable
1/25/2025	P20	2.45	6.3	0.5	6.63	177	Unbreedable
1/25/2025	P12	2	8.8	2.4	8	162	Unbreedable
1/26/2025	P10	1.57	9.1	0.6	14.7	162	Unbreedable
1/26/2025	P16	1.02	8.8	4.4	14.7	154	Unbreedable
1/27/2025	P07	1.57	6.4	33.3	22.63	83	Unbreedable
1/27/2025	P10	1.55	6.5	31.8	6.93	57	Unbreedable
1/28/2025	P12	1.47	9.3	3.6	11.18	56	Unbreedable
1/28/2025	P11	3.8	6.4	3.4	6.86	79	Unbreedable
1/29/2025	P20	3.12	9.5	37.2	6.86	155	Unbreedable
1/29/2025	P12	1.87	9.1	3.2	6.48	57	Unbreedable
1/30/2025	P04	2.76	8.6	2.7	7	58	Unbreedable
1/30/2025	P17	3.44	8.7	3.7	6.71	60	Unbreedable
1/31/2025	P01	3.72	7.2	3.9	2.83	151	Unbreedable
1/31/2025	P02	0.79	9.3	31.8	6.56	190	Unbreedable

